so_id,so_num,customer_id,status,date_issued,date_first_ship,date_completed,ship_to_name,ship_to_address,ship_to_city,ship_to_state,ship_to_zip,ship_to_country,ship_to_key,customer_po,salesman,total_price,sub_total
102054,1478934,74,Fulfilled,2025-10-30 15:04:25.491000,2025-11-03 00:00:00,2025-11-03 07:54:01.198000,0440 DC ARTS DISTRICT MARKET-DCA,"C/O WHSMITH- GXO
2353 US HIGHWAY 130 STE",Dayton,NJ,08810,US,0440 DC ARTS DISTRICT MARKET-DCA|Dayton|NJ|08810|US,688444,hmorales,241.920000000,241.920000000
102055,1478935,74,Fulfilled,2025-10-30 15:06:13.067000,2025-11-03 00:00:00,2025-11-03 07:54:01.757000,TRAVEL + RIGHT-SLC,"3619 W 510 NORTH
C/O BRADFORD LOGISTICS",SALT LAKE CITY,UT,84116,US,TRAVEL + RIGHT-SLC|SALT LAKE CITY|UT|84116|US,688446,hmorales,241.920000000,241.920000000
102056,1478936,74,Fulfilled,2025-10-30 15:07:31.724000,2025-11-03 00:00:00,2025-11-03 08:00:31.246000,GOTHAM NEWS-MOYNIHAN TRAIN HALL,"GOTHAM NEWS
2353 US HIGHWAY 130
STE A
MOYNIHAN TRAIN HALL",Dayton,NJ,08810,US,GOTHAM NEWS-MOYNIHAN TRAIN HALL|Dayton|NJ|08810|US,688426,hmorales,241.920000000,241.920000000
102057,1478937,74,Fulfilled,2025-10-30 15:09:13.130000,2025-11-03 00:00:00,2025-11-03 07:57:01.682000,LICK-DFW AIRPORT,"LICK-DFW AIRPORT
2610 N INTL PKWY
TERMINAL E GATE E34 SPACE 109 C",DALLAS,TX,75261,US,LICK-DFW AIRPORT|DALLAS|TX|75261|US,688432,hmorales,241.920000000,241.920000000
102203,1478941,74,Fulfilled,2025-10-31 10:20:17.175000,2025-11-03 00:00:00,2025-11-03 07:57:01.178000,GIFT SHOP-AQUARIUS,"GIFT SHOP-AQUARIUS
1900 S CASINO DR","LAUGHLIN,",NV,89029,US,"GIFT SHOP-AQUARIUS|LAUGHLIN,|NV|89029|US",689157,hmorales,120.960000000,120.960000000
103463,1479076,74,Fulfilled,2025-11-10 12:07:56.504000,2025-11-11 00:00:00,2025-11-11 09:01:16.019000,THE ARTS DISTRICT MARKET - SAN,"C/O BRADFORD AIRPORT LOGISTICS
2247 WEST WASHINGTON STREET",SAN DIEGO,CA,92110,US,THE ARTS DISTRICT MARKET - SAN|SAN DIEGO|CA|92110|US,691164,hmorales,241.920000000,241.920000000
103464,1479077,74,Fulfilled,2025-11-10 12:12:09.066000,2025-11-11 00:00:00,2025-11-11 09:01:15.284000,0430 Motown Greatest Hits #430 Suite 3-2,"0430 Motown Greatest Hits
C/O Bradford Logistics
2588 World Gateway Place Suite T1-160",Detroit,MI,48242,US,0430 Motown Greatest Hits #430 Suite 3-2|Detroit|MI|48242|US,691166,hmorales,241.920000000,241.920000000
103465,1479078,74,Fulfilled,2025-11-10 12:13:40.675000,2025-11-11 00:00:00,2025-11-11 09:01:16.362000,WH SMITH-DCA AP (T-CNC3),"C/O WHSMITH-GXO
2353 US HIGHWAY 130 ST",Dayton,NJ,08810,US,WH SMITH-DCA AP (T-CNC3)|Dayton|NJ|08810|US,691151,hmorales,241.920000000,241.920000000
103466,1479079,74,Fulfilled,2025-11-10 12:15:14.034000,2025-11-11 00:00:00,2025-11-11 09:01:16.690000,THE WELL - SMF AP,"THE WELL - SMF AP
6900 AIRPORT BLVD
TERM A",Sacramento,CA,95837,US,THE WELL - SMF AP|Sacramento|CA|95837|US,691157,hmorales,241.920000000,241.920000000
104490,1479155,74,Fulfilled,2025-11-18 11:21:42.921000,2025-11-19 00:00:00,2025-11-19 12:21:32.709000,Fuel @ DTW-A,"c/o Bradford Logistics
2588 World Gateway Place
Suite T1-160",Detroit,MI,48242,US,Fuel @ DTW-A|Detroit|MI|48242|US,694423,hmorales,604.800000000,604.800000000
